LONS,LATS,COD_UPZ,UPZ_NAME
-74.07275454267688,4.64354337575572,UPZ100,GALERIAS
-74.17835394291355,4.637108629804264,UPZ83,LAS MARGARITAS
-74.08954081184413,4.630724711217473,UPZ107,QUINTA PAREDES
-74.07392424740539,4.627960405956727,UPZ101,TEUSAQUILLO
-74.06594376789309,4.619845201003497,UPZ91,SAGRADO CORAZON
-74.17497360592701,4.619883723424422,UPZ81,GRAN BRITALIA
-74.09718797509139,4.618924586520851,UPZ108,ZONA INDUSTRIAL
-74.14393724423375,4.677027730489112,UPZ75,FONTIBON
-74.07929984889624,4.671838028893733,UPZ22,DOCE DE OCTUBRE
-74.12241679556094,4.666485520447029,UPZ114,MODELIA
-74.08539859492875,4.66110634563919,UPZ103,PARQUE SALITRE
-74.10186107381048,4.6629405380117115,UPZ105,JARDIN BOTANICO
-74.04666739662878,4.666004857220421,UPZ88,EL REFUGIO
-74.08773966227679,4.750272478682742,UPZ27,SUBA
-74.1158835580181,4.72517345905029,UPZ72,BOLIVIA
-74.04342717065144,4.710419285861588,UPZ15,COUNTRY CLUB
-74.04577532005815,4.696057882117761,UPZ16,SANTA BARBARA
-74.06747787443551,4.6826152015156675,UPZ21,LOS ANDES
-74.01946499185067,4.667742377178424,UPZ89,SAN ISIDRO - PATIOS
-74.08637201743532,4.648285279912349,UPZ106,LA ESMERALDA
-74.19210471715058,4.6416063411930555,UPZ86,EL PORVENIR
-74.17034802044395,4.6408081566453525,UPZ82,PATIO BONITO
-74.06382887118434,4.638495164173947,UPZ99,CHAPINERO
-74.10179387791942,4.643262600985208,UPZ109,CIUDAD SALITRE ORIENTAL
-74.0565709888518,4.64090970896732,UPZ90,PARDO RUBIO
-74.08552023138884,4.578079096427901,UPZ33,SOSIEGO
-74.10873400676434,4.633503164339563,UPZ111,PUENTE ARANDA
-74.08448952310448,4.611044902433601,UPZ102,LA SABANA
-74.14149444908685,4.606947522462773,UPZ45,CARVAJAL
-74.0741635690869,4.604978744494894,UPZ93,LAS NIEVES
-74.09572761925183,4.598407245152226,UPZ37,SANTA ISABEL
-74.16507630938378,4.6003093731420055,UPZ49,APOGEO
-74.05684618638826,4.724176774301541,UPZ19,EL PRADO
-74.07363636609554,4.71749800107167,UPZ24,NIZA
-74.06951642142172,4.744020104999955,UPZ23,CASA BLANCA SUBA
-74.11169537665984,4.655403454999269,UPZ110,CIUDAD SALITRE OCCIDENTAL
-74.09133299354072,4.647744986174552,UPZ104,PARQUE SIMON BOLIVAR - CAN
-74.10815414246126,4.676938430233034,UPZ31,SANTA CECILIA
-74.14154682161771,4.53858413483734,UPZ68,EL TESORO
-74.1322739411214,4.499149799870529,UPZ64,MONTE BLANCO
-74.11436624282535,4.745965953283986,UPZ71,TIBABUYES
-74.09814922221166,4.708414952782107,UPZ29,MINUTO DE DIOS
-74.16060572387057,4.694824853106154,UPZ76,FONTIBON SAN PABLO
-74.04525530591906,4.817750313729737,UPZ3,GUAYMARAL
-74.16175955864706,4.630199858134488,UPZ80,CORABASTOS
-74.14954669193678,4.549873793816098,UPZ67,LUCERO
-74.13001129518238,4.537986426289628,UPZ63,EL MOCHUELO
-74.10866455182963,4.544549754182391,UPZ55,DIANA TURBAY
-74.09046863406671,4.5325093038246855,UPZ51,LOS LIBERTADORES
-74.10090143482088,4.527282709207167,UPZ60,PARQUE ENTRENUBES
-74.1160371146603,4.535363940378214,UPZ56,DANUBIO
-74.15279136963001,4.583175036021725,UPZ65,ARBORIZADORA
-74.04915131749021,4.7852278953920635,UPZ2,LA ACADEMIA
-74.05573070022169,4.762617550435912,UPZ17,SAN JOSE DE BAVARIA
-74.05682384314619,4.747592289558072,UPZ18,BRITALIA
-74.09072022203443,4.6815983719968,UPZ26,LAS FERIAS
-74.1271621295961,4.6792080594101275,UPZ115,CAPELLANIA
-74.08913672329994,4.546687128075042,UPZ50,LA GLORIA
-74.10374237153337,4.5547206594131335,UPZ60,PARQUE ENTRENUBES
-74.06140754577547,4.698250886841813,UPZ20,LA ALHAMBRA
-74.16211243833422,4.648756004421258,UPZ79,CALANDAIMA
-74.0394296010429,4.742126560921028,UPZ12,TOBERIN
-74.03096183184991,4.751145448163183,UPZ10,LA URIBE
